,agg1,agg2,agg3,agg4,agg5,agg6,agg7,agg8,agg9,agg10,agg11,agg12
metric81,81,81,81,81,81,81,81,81,81,81,81,81
metric82,82,82,82,82,82,82,82,82,82,82,82,82
metric83,83,83,83,83,83,83,83,83,83,83,83,83
metric84,84,84,84,84,84,84,84,84,84,84,84,84
metric85,85,85,85,85,85,85,85,85,85,85,85,85
metric86,86,86,86,86,86,86,86,86,86,86,86,86
metric87,87,87,87,87,87,87,87,87,87,87,87,87
metric88,88,88,88,88,88,88,88,88,88,88,88,88
metric89,89,89,89,89,89,89,89,89,89,89,89,89
metric90,90,90,90,90,90,90,90,90,90,90,90,90
metric91,91,91,91,91,91,91,91,91,91,91,91,91
metric92,92,92,92,92,92,92,92,92,92,92,92,92
metric93,93,93,93,93,93,93,93,93,93,93,93,93
metric94,94,94,94,94,94,94,94,94,94,94,94,94
metric95,95,95,95,95,95,95,95,95,95,95,95,95
metric96,96,96,96,96,96,96,96,96,96,96,96,96
metric97,97,97,97,97,97,97,97,97,97,97,97,97
metric98,98,98,98,98,98,98,98,98,98,98,98,98
metric99,99,99,99,99,99,99,99,99,99,99,99,99
metric100,100,100,100,100,100,100,100,100,100,100,100,100
metric101,101,101,101,101,101,101,101,101,101,101,101,101
metric102,102,102,102,102,102,102,102,102,102,102,102,102
metric103,103,103,103,103,103,103,103,103,103,103,103,103
metric104,104,104,104,104,104,104,104,104,104,104,104,104
metric105,105,105,105,105,105,105,105,105,105,105,105,105
metric106,106,106,106,106,106,106,106,106,106,106,106,106
metric107,107,107,107,107,107,107,107,107,107,107,107,107
metric108,108,108,108,108,108,108,108,108,108,108,108,108
metric109,109,109,109,109,109,109,109,109,109,109,109,109
metric110,110,110,110,110,110,110,110,110,110,110,110,110
metric111,111,111,111,111,111,111,111,111,111,111,111,111
metric112,112,112,112,112,112,112,112,112,112,112,112,112
metric113,113,113,113,113,113,113,113,113,113,113,113,113
metric114,114,114,114,114,114,114,114,114,114,114,114,114
metric115,115,115,115,115,115,115,115,115,115,115,115,115
metric116,116,116,116,116,116,116,116,116,116,116,116,116
metric117,117,117,117,117,117,117,117,117,117,117,117,117
metric118,118,118,118,118,118,118,118,118,118,118,118,118
metric119,119,119,119,119,119,119,119,119,119,119,119,119
metric120,120,120,120,120,120,120,120,120,120,120,120,120
metric121,121,121,121,121,121,121,121,121,121,121,121,121
metric122,122,122,122,122,122,122,122,122,122,122,122,122
metric123,123,123,123,123,123,123,123,123,123,123,123,123
metric124,124,124,124,124,124,124,124,124,124,124,124,124
metric125,125,125,125,125,125,125,125,125,125,125,125,125
metric126,126,126,126,126,126,126,126,126,126,126,126,126
metric127,127,127,127,127,127,127,127,127,127,127,127,127
metric128,128,128,128,128,128,128,128,128,128,128,128,128
metric129,129,129,129,129,129,129,129,129,129,129,129,129
metric130,130,130,130,130,130,130,130,130,130,130,130,130
metric131,131,131,131,131,131,131,131,131,131,131,131,131
metric132,132,132,132,132,132,132,132,132,132,132,132,132
metric133,133,133,133,133,133,133,133,133,133,133,133,133
metric134,134,134,134,134,134,134,134,134,134,134,134,134
metric135,135,135,135,135,135,135,135,135,135,135,135,135
metric136,136,136,136,136,136,136,136,136,136,136,136,136
metric137,137,137,137,137,137,137,137,137,137,137,137,137
metric138,138,138,138,138,138,138,138,138,138,138,138,138
metric139,139,139,139,139,139,139,139,139,139,139,139,139
metric140,140,140,140,140,140,140,140,140,140,140,140,140
metric141,141,141,141,141,141,141,141,141,141,141,141,141
metric142,142,142,142,142,142,142,142,142,142,142,142,142
metric143,143,143,143,143,143,143,143,143,143,143,143,143
metric144,144,144,144,144,144,144,144,144,144,144,144,144
metric145,145,145,145,145,145,145,145,145,145,145,145,145
metric146,146,146,146,146,146,146,146,146,146,146,146,146
metric147,147,147,147,147,147,147,147,147,147,147,147,147
metric148,148,148,148,148,148,148,148,148,148,148,148,148
metric149,149,149,149,149,149,149,149,149,149,149,149,149
metric150,150,150,150,150,150,150,150,150,150,150,150,150
metric151,151,151,151,151,151,151,151,151,151,151,151,151
metric152,152,152,152,152,152,152,152,152,152,152,152,152
metric153,153,153,153,153,153,153,153,153,153,153,153,153
metric154,154,154,154,154,154,154,154,154,154,154,154,154
metric155,155,155,155,155,155,155,155,155,155,155,155,155
metric156,156,156,156,156,156,156,156,156,156,156,156,156
metric157,157,157,157,157,157,157,157,157,157,157,157,157
metric158,158,158,158,158,158,158,158,158,158,158,158,158
metric159,159,159,159,159,159,159,159,159,159,159,159,159
metric160,160,160,160,160,160,160,160,160,160,160,160,160
metric161,161,161,161,161,161,161,161,161,161,161,161,161
metric162,162,162,162,162,162,162,162,162,162,162,162,162
metric163,163,163,163,163,163,163,163,163,163,163,163,163
metric164,164,164,164,164,164,164,164,164,164,164,164,164
metric165,165,165,165,165,165,165,165,165,165,165,165,165
metric166,166,166,166,166,166,166,166,166,166,166,166,166
metric167,167,167,167,167,167,167,167,167,167,167,167,167
metric168,168,168,168,168,168,168,168,168,168,168,168,168
metric169,169,169,169,169,169,169,169,169,169,169,169,169
metric170,170,170,170,170,170,170,170,170,170,170,170,170
metric171,171,171,171,171,171,171,171,171,171,171,171,171
metric172,172,172,172,172,172,172,172,172,172,172,172,172
metric173,173,173,173,173,173,173,173,173,173,173,173,173
metric174,174,174,174,174,174,174,174,174,174,174,174,174
metric175,175,175,175,175,175,175,175,175,175,175,175,175
metric176,176,176,176,176,176,176,176,176,176,176,176,176
metric177,177,177,177,177,177,177,177,177,177,177,177,177
metric178,178,178,178,178,178,178,178,178,178,178,178,178
metric179,179,179,179,179,179,179,179,179,179,179,179,179
metric180,180,180,180,180,180,180,180,180,180,180,180,180
metric181,181,181,181,181,181,181,181,181,181,181,181,181
metric182,182,182,182,182,182,182,182,182,182,182,182,182
metric183,183,183,183,183,183,183,183,183,183,183,183,183
metric184,184,184,184,184,184,184,184,184,184,184,184,184
metric185,185,185,185,185,185,185,185,185,185,185,185,185
metric186,186,186,186,186,186,186,186,186,186,186,186,186
metric187,187,187,187,187,187,187,187,187,187,187,187,187
metric188,188,188,188,188,188,188,188,188,188,188,188,188
metric189,189,189,189,189,189,189,189,189,189,189,189,189
metric190,190,190,190,190,190,190,190,190,190,190,190,190
metric191,191,191,191,191,191,191,191,191,191,191,191,191
metric192,192,192,192,192,192,192,192,192,192,192,192,192
metric193,193,193,193,193,193,193,193,193,193,193,193,193
metric194,194,194,194,194,194,194,194,194,194,194,194,194
metric195,195,195,195,195,195,195,195,195,195,195,195,195
metric196,196,196,196,196,196,196,196,196,196,196,196,196
metric197,197,197,197,197,197,197,197,197,197,197,197,197
metric198,198,198,198,198,198,198,198,198,198,198,198,198
metric199,199,199,199,199,199,199,199,199,199,199,199,199
metric200,200,200,200,200,200,200,200,200,200,200,200,200
metric201,201,201,201,201,201,201,201,201,201,201,201,201
metric202,202,202,202,202,202,202,202,202,202,202,202,202
metric203,203,203,203,203,203,203,203,203,203,203,203,203
metric204,204,204,204,204,204,204,204,204,204,204,204,204
metric205,205,205,205,205,205,205,205,205,205,205,205,205
metric206,206,206,206,206,206,206,206,206,206,206,206,206
metric207,207,207,207,207,207,207,207,207,207,207,207,207
metric208,208,208,208,208,208,208,208,208,208,208,208,208
metric209,209,209,209,209,209,209,209,209,209,209,209,209
metric210,210,210,210,210,210,210,210,210,210,210,210,210
metric211,211,211,211,211,211,211,211,211,211,211,211,211
metric212,212,212,212,212,212,212,212,212,212,212,212,212
metric213,213,213,213,213,213,213,213,213,213,213,213,213
metric214,214,214,214,214,214,214,214,214,214,214,214,214
metric215,215,215,215,215,215,215,215,215,215,215,215,215
metric216,216,216,216,216,216,216,216,216,216,216,216,216
metric217,217,217,217,217,217,217,217,217,217,217,217,217
metric218,218,218,218,218,218,218,218,218,218,218,218,218
metric219,219,219,219,219,219,219,219,219,219,219,219,219
metric220,220,220,220,220,220,220,220,220,220,220,220,220
metric221,221,221,221,221,221,221,221,221,221,221,221,221
metric222,222,222,222,222,222,222,222,222,222,222,222,222
metric223,223,223,223,223,223,223,223,223,223,223,223,223
metric224,224,224,224,224,224,224,224,224,224,224,224,224
metric225,225,225,225,225,225,225,225,225,225,225,225,225
metric226,226,226,226,226,226,226,226,226,226,226,226,226
metric227,227,227,227,227,227,227,227,227,227,227,227,227
metric228,228,228,228,228,228,228,228,228,228,228,228,228
metric229,229,229,229,229,229,229,229,229,229,229,229,229
metric230,230,230,230,230,230,230,230,230,230,230,230,230
metric231,231,231,231,231,231,231,231,231,231,231,231,231
metric232,232,232,232,232,232,232,232,232,232,232,232,232
metric233,233,233,233,233,233,233,233,233,233,233,233,233
metric234,234,234,234,234,234,234,234,234,234,234,234,234
metric235,235,235,235,235,235,235,235,235,235,235,235,235
metric236,236,236,236,236,236,236,236,236,236,236,236,236
metric237,237,237,237,237,237,237,237,237,237,237,237,237
metric238,238,238,238,238,238,238,238,238,238,238,238,238
metric239,239,239,239,239,239,239,239,239,239,239,239,239
metric240,240,240,240,240,240,240,240,240,240,240,240,240
metric241,241,241,241,241,241,241,241,241,241,241,241,241
metric242,242,242,242,242,242,242,242,242,242,242,242,242
metric243,243,243,243,243,243,243,243,243,243,243,243,243
metric244,244,244,244,244,244,244,244,244,244,244,244,244
metric245,245,245,245,245,245,245,245,245,245,245,245,245
metric246,246,246,246,246,246,246,246,246,246,246,246,246
metric247,247,247,247,247,247,247,247,247,247,247,247,247
metric248,248,248,248,248,248,248,248,248,248,248,248,248
metric249,249,249,249,249,249,249,249,249,249,249,249,249
metric250,250,250,250,250,250,250,250,250,250,250,250,250
metric251,251,251,251,251,251,251,251,251,251,251,251,251
metric252,252,252,252,252,252,252,252,252,252,252,252,252
metric253,253,253,253,253,253,253,253,253,253,253,253,253
metric254,254,254,254,254,254,254,254,254,254,254,254,254
metric255,255,255,255,255,255,255,255,255,255,255,255,255
metric256,256,256,256,256,256,256,256,256,256,256,256,256
metric257,257,257,257,257,257,257,257,257,257,257,257,257
metric258,258,258,258,258,258,258,258,258,258,258,258,258
metric259,259,259,259,259,259,259,259,259,259,259,259,259
metric260,260,260,260,260,260,260,260,260,260,260,260,260
metric261,261,261,261,261,261,261,261,261,261,261,261,261
metric262,262,262,262,262,262,262,262,262,262,262,262,262
metric263,263,263,263,263,263,263,263,263,263,263,263,263
metric264,264,264,264,264,264,264,264,264,264,264,264,264
metric265,265,265,265,265,265,265,265,265,265,265,265,265
metric266,266,266,266,266,266,266,266,266,266,266,266,266
metric267,267,267,267,267,267,267,267,267,267,267,267,267
metric268,268,268,268,268,268,268,268,268,268,268,268,268
metric269,269,269,269,269,269,269,269,269,269,269,269,269
metric270,270,270,270,270,270,270,270,270,270,270,270,270
metric271,271,271,271,271,271,271,271,271,271,271,271,271
metric272,272,272,272,272,272,272,272,272,272,272,272,272
metric273,273,273,273,273,273,273,273,273,273,273,273,273
metric274,274,274,274,274,274,274,274,274,274,274,274,274
metric275,275,275,275,275,275,275,275,275,275,275,275,275
metric276,276,276,276,276,276,276,276,276,276,276,276,276
metric277,277,277,277,277,277,277,277,277,277,277,277,277
metric278,278,278,278,278,278,278,278,278,278,278,278,278
metric279,279,279,279,279,279,279,279,279,279,279,279,279
metric280,280,280,280,280,280,280,280,280,280,280,280,280
metric281,281,281,281,281,281,281,281,281,281,281,281,281
metric282,282,282,282,282,282,282,282,282,282,282,282,282
metric283,283,283,283,283,283,283,283,283,283,283,283,283
metric284,284,284,284,284,284,284,284,284,284,284,284,284
metric285,285,285,285,285,285,285,285,285,285,285,285,285
metric286,286,286,286,286,286,286,286,286,286,286,286,286
metric287,287,287,287,287,287,287,287,287,287,287,287,287
metric288,288,288,288,288,288,288,288,288,288,288,288,288
metric289,289,289,289,289,289,289,289,289,289,289,289,289
metric290,290,290,290,290,290,290,290,290,290,290,290,290
metric291,291,291,291,291,291,291,291,291,291,291,291,291
metric292,292,292,292,292,292,292,292,292,292,292,292,292
metric293,293,293,293,293,293,293,293,293,293,293,293,293
metric294,294,294,294,294,294,294,294,294,294,294,294,294
metric295,295,295,295,295,295,295,295,295,295,295,295,295
metric296,296,296,296,296,296,296,296,296,296,296,296,296
metric297,297,297,297,297,297,297,297,297,297,297,297,297
metric298,298,298,298,298,298,298,298,298,298,298,298,298
metric299,299,299,299,299,299,299,299,299,299,299,299,299
metric300,300,300,300,300,300,300,300,300,300,300,300,300
metric301,301,301,301,301,301,301,301,301,301,301,301,301
metric302,302,302,302,302,302,302,302,302,302,302,302,302
metric303,303,303,303,303,303,303,303,303,303,303,303,303
metric304,304,304,304,304,304,304,304,304,304,304,304,304
metric305,305,305,305,305,305,305,305,305,305,305,305,305
metric306,306,306,306,306,306,306,306,306,306,306,306,306
metric307,307,307,307,307,307,307,307,307,307,307,307,307
metric308,308,308,308,308,308,308,308,308,308,308,308,308
metric309,309,309,309,309,309,309,309,309,309,309,309,309
metric310,310,310,310,310,310,310,310,310,310,310,310,310
metric311,311,311,311,311,311,311,311,311,311,311,311,311
metric312,312,312,312,312,312,312,312,312,312,312,312,312
metric313,313,313,313,313,313,313,313,313,313,313,313,313
metric314,314,314,314,314,314,314,314,314,314,314,314,314
metric315,315,315,315,315,315,315,315,315,315,315,315,315
metric316,316,316,316,316,316,316,316,316,316,316,316,316
metric317,317,317,317,317,317,317,317,317,317,317,317,317
metric318,318,318,318,318,318,318,318,318,318,318,318,318
metric319,319,319,319,319,319,319,319,319,319,319,319,319
metric320,320,320,320,320,320,320,320,320,320,320,320,320
metric321,321,321,321,321,321,321,321,321,321,321,321,321
metric322,322,322,322,322,322,322,322,322,322,322,322,322
metric323,323,323,323,323,323,323,323,323,323,323,323,323
metric324,324,324,324,324,324,324,324,324,324,324,324,324
metric325,325,325,325,325,325,325,325,325,325,325,325,325
metric326,326,326,326,326,326,326,326,326,326,326,326,326
metric327,327,327,327,327,327,327,327,327,327,327,327,327
metric328,328,328,328,328,328,328,328,328,328,328,328,328
metric329,329,329,329,329,329,329,329,329,329,329,329,329
metric330,330,330,330,330,330,330,330,330,330,330,330,330
metric331,331,331,331,331,331,331,331,331,331,331,331,331
metric332,332,332,332,332,332,332,332,332,332,332,332,332
metric333,333,333,333,333,333,333,333,333,333,333,333,333
metric334,334,334,334,334,334,334,334,334,334,334,334,334
metric335,335,335,335,335,335,335,335,335,335,335,335,335
metric336,336,336,336,336,336,336,336,336,336,336,336,336
metric337,337,337,337,337,337,337,337,337,337,337,337,337
metric338,338,338,338,338,338,338,338,338,338,338,338,338
metric339,339,339,339,339,339,339,339,339,339,339,339,339
metric340,340,340,340,340,340,340,340,340,340,340,340,340
metric341,341,341,341,341,341,341,341,341,341,341,341,341
metric342,342,342,342,342,342,342,342,342,342,342,342,342
metric343,343,343,343,343,343,343,343,343,343,343,343,343
metric344,344,344,344,344,344,344,344,344,344,344,344,344
metric345,345,345,345,345,345,345,345,345,345,345,345,345
metric346,346,346,346,346,346,346,346,346,346,346,346,346
metric347,347,347,347,347,347,347,347,347,347,347,347,347
metric348,348,348,348,348,348,348,348,348,348,348,348,348
metric349,349,349,349,349,349,349,349,349,349,349,349,349
metric350,350,350,350,350,350,350,350,350,350,350,350,350
metric351,351,351,351,351,351,351,351,351,351,351,351,351
metric352,352,352,352,352,352,352,352,352,352,352,352,352
metric353,353,353,353,353,353,353,353,353,353,353,353,353
metric354,354,354,354,354,354,354,354,354,354,354,354,354
metric355,355,355,355,355,355,355,355,355,355,355,355,355
metric356,356,356,356,356,356,356,356,356,356,356,356,356
metric357,357,357,357,357,357,357,357,357,357,357,357,357
metric358,358,358,358,358,358,358,358,358,358,358,358,358
metric359,359,359,359,359,359,359,359,359,359,359,359,359
metric360,360,360,360,360,360,360,360,360,360,360,360,360
metric361,361,361,361,361,361,361,361,361,361,361,361,361
metric362,362,362,362,362,362,362,362,362,362,362,362,362
metric363,363,363,363,363,363,363,363,363,363,363,363,363
metric364,364,364,364,364,364,364,364,364,364,364,364,364
metric365,365,365,365,365,365,365,365,365,365,365,365,365
metric366,366,366,366,366,366,366,366,366,366,366,366,366
metric367,367,367,367,367,367,367,367,367,367,367,367,367
metric368,368,368,368,368,368,368,368,368,368,368,368,368
metric369,369,369,369,369,369,369,369,369,369,369,369,369
metric370,370,370,370,370,370,370,370,370,370,370,370,370
metric371,371,371,371,371,371,371,371,371,371,371,371,371
metric372,372,372,372,372,372,372,372,372,372,372,372,372
metric373,373,373,373,373,373,373,373,373,373,373,373,373
metric374,374,374,374,374,374,374,374,374,374,374,374,374
metric375,375,375,375,375,375,375,375,375,375,375,375,375
metric376,376,376,376,376,376,376,376,376,376,376,376,376
metric377,377,377,377,377,377,377,377,377,377,377,377,377
metric378,378,378,378,378,378,378,378,378,378,378,378,378
metric379,379,379,379,379,379,379,379,379,379,379,379,379
metric380,380,380,380,380,380,380,380,380,380,380,380,380
metric381,381,381,381,381,381,381,381,381,381,381,381,381
metric382,382,382,382,382,382,382,382,382,382,382,382,382
metric383,383,383,383,383,383,383,383,383,383,383,383,383
metric384,384,384,384,384,384,384,384,384,384,384,384,384
metric385,385,385,385,385,385,385,385,385,385,385,385,385
metric386,386,386,386,386,386,386,386,386,386,386,386,386
metric387,387,387,387,387,387,387,387,387,387,387,387,387
metric388,388,388,388,388,388,388,388,388,388,388,388,388
metric389,389,389,389,389,389,389,389,389,389,389,389,389
metric390,390,390,390,390,390,390,390,390,390,390,390,390
metric391,391,391,391,391,391,391,391,391,391,391,391,391
metric392,392,392,392,392,392,392,392,392,392,392,392,392
metric393,393,393,393,393,393,393,393,393,393,393,393,393
metric394,394,394,394,394,394,394,394,394,394,394,394,394
metric395,395,395,395,395,395,395,395,395,395,395,395,395
metric396,396,396,396,396,396,396,396,396,396,396,396,396
metric397,397,397,397,397,397,397,397,397,397,397,397,397
metric398,398,398,398,398,398,398,398,398,398,398,398,398
metric399,399,399,399,399,399,399,399,399,399,399,399,399
metric400,400,400,400,400,400,400,400,400,400,400,400,400
metric401,401,401,401,401,401,401,401,401,401,401,401,401
metric402,402,402,402,402,402,402,402,402,402,402,402,402
metric403,403,403,403,403,403,403,403,403,403,403,403,403
metric404,404,404,404,404,404,404,404,404,404,404,404,404
metric405,405,405,405,405,405,405,405,405,405,405,405,405
metric406,406,406,406,406,406,406,406,406,406,406,406,406
metric407,407,407,407,407,407,407,407,407,407,407,407,407
metric408,408,408,408,408,408,408,408,408,408,408,408,408
metric409,409,409,409,409,409,409,409,409,409,409,409,409
metric410,410,410,410,410,410,410,410,410,410,410,410,410
metric411,411,411,411,411,411,411,411,411,411,411,411,411
metric412,412,412,412,412,412,412,412,412,412,412,412,412
metric413,413,413,413,413,413,413,413,413,413,413,413,413
metric414,414,414,414,414,414,414,414,414,414,414,414,414
metric415,415,415,415,415,415,415,415,415,415,415,415,415
metric416,416,416,416,416,416,416,416,416,416,416,416,416
metric417,417,417,417,417,417,417,417,417,417,417,417,417
metric418,418,418,418,418,418,418,418,418,418,418,418,418
metric419,419,419,419,419,419,419,419,419,419,419,419,419
